Brand,Model,Engine_Size_L,Horsepower,Fuel_Type,Transmission,Mileage_kmpl,Showroom_Price_INR
Volkswagen,Virtus,1.2,131.0,CNG,Automatic,16.8,1726292.0
Volkswagen,Polo,1.9,194.0,Diesel,Manual,20.2,2209108.0
Toyota,Innova,2.3,167.0,CNG,Automatic,22.0,2206000.0
Skoda,Slavia,1.9,216.0,Petrol,Manual,12.9,2132669.0
Hyundai,Creta,1.9,190.0,Electric,Automatic,14.7,2909888.0
Tata,Punch,1.1,102.0,Electric,Automatic,15.5,2273599.0
Tata,Nexon,1.5,162.0,CNG,Manual,23.3,2044048.0
Honda,Amaze,1.7,175.0,Diesel,Automatic,21.5,2321790.0
Tata,Nexon,2.0,170.0,Petrol,Automatic,27.4,2131834.0
Honda,Amaze,2.4,219.0,Petrol,Automatic,23.8,
Toyota,Glanza,2.2,155.0,CNG,Manual,17.5,2147568.0
Volkswagen,Virtus,1.7,204.0,Electric,Manual,27.0,2667383.0
Kia,,1.0,177.0,Diesel,Manual,26.0,2089719.0
Skoda,Kushaq,2.0,102.0,Diesel,Automatic,24.5,2011166.0
MG,Hector,1.9,91.0,Diesel,Automatic,23.4,2032975.0
Skoda,Kushaq,1.1,209.0,CNG,Automatic,19.5,2141348.0
Kia,Carens,1.1,167.0,Diesel,Manual,23.7,2038083.0
Honda,Elevate,1.6,184.0,Petrol,Manual,20.4,1980248.0
Mahindra,Scorpio,2.3,145.0,Diesel,Automatic,14.0,2279352.0
Maruti,Brezza,1.1,209.0,Petrol,Automatic,16.1,2165435.0
Tata,Altroz,2.1,141.0,CNG,Automatic,21.0,2111063.0
Honda,,1.9,176.0,Petrol,Manual,19.0,1991853.0
Toyota,Glanza,2.2,124.0,Petrol,Manual,24.2,1958278.0
Volkswagen,Virtus,1.6,173.0,CNG,Manual,16.7,2093232.0
Tata,Altroz,,103.0,Electric,Manual,19.3,2347612.0
Volkswagen,Virtus,2.3,200.0,Electric,Manual,23.4,2969457.0
Tata,Punch,2.4,186.0,CNG,Automatic,15.8,2384879.0
Toyota,Glanza,1.1,191.0,Petrol,Manual,,2040639.0
Kia,Sonet,1.7,90.0,CNG,Automatic,14.2,1750303.0
,Creta,1.3,127.0,Diesel,Manual,27.0,1766144.0
Honda,City,1.3,207.0,Diesel,Automatic,20.4,2163543.0
Skoda,Slavia,2.4,122.0,Petrol,Manual,22.3,1922262.0
Toyota,Glanza,1.9,217.0,CNG,Manual,23.8,2355300.0
Mahindra,Scorpio,1.1,145.0,Electric,Manual,20.1,2187811.0
Volkswagen,Polo,2.3,199.0,Diesel,Automatic,15.1,2429650.0
Hyundai,Creta,1.9,136.0,CNG,Automatic,13.5,1954785.0
Volkswagen,,2.4,181.0,CNG,Automatic,27.8,2402450.0
Toyota,Hyryder,1.7,110.0,Diesel,Automatic,13.0,1867846.0
Honda,Amaze,1.2,170.0,Petrol,Automatic,21.8,2120936.0
Toyota,Glanza,1.4,108.0,Diesel,Automatic,16.2,1873058.0
Honda,Elevate,1.6,113.0,Electric,Automatic,,2180771.0
Mahindra,XUV700,1.2,210.0,Petrol,Automatic,15.2,2226723.0
MG,Hector,1.9,132.0,Diesel,Automatic,14.1,1933927.0
Tata,Altroz,1.4,216.0,Petrol,Automatic,20.0,2095273.0
MG,Comet,1.3,194.0,CNG,Manual,,2162034.0
Tata,Altroz,,88.0,Diesel,Manual,27.7,1704594.0
Skoda,Slavia,2.3,192.0,Petrol,Automatic,26.8,2342019.0
Mahindra,Scorpio,1.7,,Diesel,Automatic,25.2,2028287.0
Hyundai,Creta,1.9,143.0,,Manual,21.7,1845438.0
Hyundai,i20,1.7,139.0,Electric,Manual,26.4,2561944.0
Toyota,Innova,1.2,115.0,Diesel,Manual,26.5,1780396.0
Kia,Carens,1.9,194.0,Diesel,Manual,16.7,2129261.0
Skoda,Slavia,1.0,204.0,CNG,Automatic,16.7,2132639.0
Maruti,Brezza,1.7,218.0,CNG,Manual,24.5,2395812.0
Toyota,Glanza,1.7,114.0,Diesel,Manual,17.8,1897394.0
Maruti,Baleno,2.4,126.0,Diesel,Automatic,18.7,2279234.0
Mahindra,XUV700,1.6,180.0,Diesel,Manual,,1995115.0
Toyota,Glanza,,81.0,Electric,Manual,23.5,1976643.0
MG,Comet,2.2,177.0,Petrol,Automatic,21.2,2126475.0
Mahindra,XUV700,2.4,198.0,Electric,Automatic,18.6,2863210.0
Toyota,Glanza,1.7,97.0,Petrol,Manual,12.7,1477621.0
Hyundai,Venue,2.4,137.0,Electric,Manual,25.8,2509771.0
Honda,Elevate,1.2,168.0,Petrol,Automatic,12.6,1864394.0
Skoda,Kushaq,2.2,79.0,CNG,Manual,21.2,1576734.0
Honda,Elevate,1.5,121.0,CNG,Automatic,25.1,2005446.0
Hyundai,i20,2.2,186.0,Diesel,Manual,26.2,2382547.0
Kia,Carens,1.0,109.0,Diesel,Automatic,24.4,1641123.0
Hyundai,Venue,1.7,114.0,Diesel,Manual,19.8,1706187.0
Tata,Altroz,1.0,,Diesel,Automatic,19.2,1703285.0
,i20,2.3,152.0,Petrol,Automatic,16.8,2032998.0
Toyota,Hyryder,2.0,217.0,Electric,Manual,24.6,3017485.0
Mahindra,XUV300,1.3,140.0,Diesel,Manual,15.0,1765803.0
Maruti,Brezza,1.1,85.0,Electric,Automatic,14.2,1942273.0
Kia,Sonet,2.3,189.0,Diesel,Manual,20.2,2390741.0
,Comet,1.4,145.0,Electric,Manual,27.3,2334977.0
MG,Astor,1.6,152.0,CNG,Automatic,27.4,1975091.0
Kia,Sonet,1.9,219.0,Electric,Automatic,15.8,2963101.0
MG,Hector,1.3,202.0,Electric,Manual,13.9,2406554.0
Toyota,Hyryder,2.2,210.0,Petrol,Manual,27.4,2364446.0
Toyota,Innova,1.1,144.0,Electric,Manual,14.7,2200850.0
Hyundai,Creta,2.3,178.0,Petrol,,22.2,2368450.0
MG,Hector,1.9,107.0,Petrol,Automatic,27.5,1851840.0
Honda,Elevate,2.3,157.0,Electric,Automatic,26.0,2755102.0
Toyota,Innova,1.2,91.0,Electric,Manual,13.1,1940511.0
Maruti,Baleno,2.2,84.0,Electric,Automatic,21.1,2399143.0
Maruti,Swift,2.3,143.0,CNG,Automatic,27.9,2229232.0
MG,Hector,2.3,202.0,Petrol,Automatic,19.0,2285723.0
Honda,Elevate,1.8,133.0,Diesel,Manual,13.9,1733185.0
Mahindra,XUV300,2.2,202.0,Petrol,Manual,25.0,2341513.0
Honda,Amaze,1.4,97.0,Petrol,Automatic,24.8,1592192.0
Mahindra,XUV300,2.2,145.0,Petrol,Automatic,19.7,2226353.0
Honda,City,2.3,177.0,Diesel,Automatic,22.3,2405003.0
Skoda,,2.5,219.0,Electric,Manual,12.0,2852370.0
Tata,Altroz,2.3,171.0,Electric,Manual,12.6,2757035.0
Honda,City,1.9,106.0,CNG,Manual,17.3,1781042.0
Maruti,Brezza,1.5,147.0,CNG,Automatic,16.5,2060642.0
MG,Comet,2.0,107.0,Diesel,Manual,12.4,1637547.0
Volkswagen,Taigun,2.1,153.0,CNG,Manual,16.9,1946832.0
Tata,Nexon,1.7,160.0,,Automatic,23.7,2060347.0
Skoda,Superb,1.8,190.0,Diesel,Automatic,20.3,2339547.0
Tata,Nexon,2.2,195.0,,Automatic,23.2,2551613.0
MG,Astor,1.5,182.0,Petrol,Manual,21.9,1943621.0
Skoda,Superb,1.2,156.0,Electric,Automatic,12.5,2577876.0
,XUV700,2.5,170.0,Electric,Automatic,20.9,2928762.0
Toyota,Innova,,186.0,Diesel,Automatic,15.2,2499957.0
Hyundai,Venue,2.0,133.0,Electric,Automatic,23.2,2663973.0
Mahindra,Scorpio,2.3,149.0,CNG,Manual,17.4,1900939.0
